Time,PM2.5
2018-08-31 02:00:00,13.4 μg/m³
2018-09-01 02:00:00,14.4 μg/m³
2018-09-02 02:00:00,13.0 μg/m³
2018-09-03 02:00:00,12.7 μg/m³
2018-09-04 02:00:00,14.7 μg/m³
2018-09-05 02:00:00,13.0 μg/m³
2018-09-06 02:00:00,16.2 μg/m³
2018-09-07 02:00:00,19.4 μg/m³
2018-09-08 02:00:00,19.3 μg/m³
2018-09-09 02:00:00,12.1 μg/m³
2018-09-10 02:00:00,12.0 μg/m³
2018-09-11 02:00:00,14.0 μg/m³
2018-09-12 02:00:00,11.2 μg/m³
2018-09-13 02:00:00,8.21 μg/m³
2018-09-14 02:00:00,8.85 μg/m³
2018-09-15 02:00:00,12.4 μg/m³
2018-09-16 02:00:00,11.3 μg/m³
2018-09-17 02:00:00,13.5 μg/m³
2018-09-18 02:00:00,22.0 μg/m³
2018-09-19 02:00:00,17.3 μg/m³
2018-09-20 02:00:00,22.7 μg/m³
2018-09-21 02:00:00,24.1 μg/m³
2018-09-22 02:00:00,7.72 μg/m³
2018-09-23 02:00:00,10.4 μg/m³
2018-09-24 02:00:00,7.18 μg/m³
2018-09-25 02:00:00,11.8 μg/m³
2018-09-26 02:00:00,13.6 μg/m³
2018-09-27 02:00:00,12.5 μg/m³
2018-09-28 02:00:00,12.2 μg/m³
2018-09-29 02:00:00,24.5 μg/m³
2018-09-30 02:00:00,23.6 μg/m³
2018-10-01 02:00:00,28.1 μg/m³
2018-10-02 02:00:00,17.4 μg/m³
2018-10-03 02:00:00,8.93 μg/m³
2018-10-04 02:00:00,13.9 μg/m³
2018-10-05 02:00:00,21.3 μg/m³
2018-10-06 02:00:00,24.9 μg/m³
2018-10-07 02:00:00,17.6 μg/m³
2018-10-08 02:00:00,24.9 μg/m³
2018-10-09 02:00:00,30.4 μg/m³
2018-10-10 02:00:00,58.5 μg/m³
2018-10-11 02:00:00,36.4 μg/m³
2018-10-12 02:00:00,37.8 μg/m³
2018-10-13 02:00:00,42.0 μg/m³
2018-10-14 02:00:00,33.2 μg/m³
2018-10-15 02:00:00,35.7 μg/m³
2018-10-16 02:00:00,45.2 μg/m³
2018-10-17 02:00:00,65.6 μg/m³
2018-10-18 02:00:00,75.6 μg/m³
2018-10-19 02:00:00,56.9 μg/m³
2018-10-20 02:00:00,46.1 μg/m³
2018-10-21 02:00:00,32.9 μg/m³
2018-10-22 02:00:00,19.5 μg/m³
2018-10-23 02:00:00,11.2 μg/m³
2018-10-24 02:00:00,7.63 μg/m³
2018-10-25 02:00:00,10.4 μg/m³
2018-10-26 02:00:00,13.6 μg/m³
2018-10-27 02:00:00,18.5 μg/m³
2018-10-28 02:00:00,14.4 μg/m³
2018-10-29 01:00:00,14.9 μg/m³
2018-10-30 01:00:00,12.9 μg/m³
2018-10-31 01:00:00,26.9 μg/m³
2018-11-01 01:00:00,34.7 μg/m³
2018-11-02 01:00:00,34.2 μg/m³
2018-11-03 01:00:00,23.7 μg/m³
2018-11-04 01:00:00,17.7 μg/m³
2018-11-05 01:00:00,49.0 μg/m³
2018-11-06 01:00:00,46.6 μg/m³
2018-11-07 01:00:00,40.8 μg/m³
2018-11-08 01:00:00,63.7 μg/m³
2018-11-09 01:00:00,62.1 μg/m³
2018-11-10 01:00:00,50.7 μg/m³
2018-11-11 01:00:00,48.2 μg/m³
2018-11-12 01:00:00,42.4 μg/m³
2018-11-13 01:00:00,37.1 μg/m³
2018-11-14 01:00:00,17.6 μg/m³
2018-11-15 01:00:00,19.4 μg/m³
2018-11-16 01:00:00,24.5 μg/m³
2018-11-17 01:00:00,55.0 μg/m³
2018-11-18 01:00:00,70.2 μg/m³
2018-11-19 01:00:00,14.5 μg/m³
2018-11-20 01:00:00,16.3 μg/m³
2018-11-21 01:00:00,20.7 μg/m³
2018-11-22 01:00:00,20.8 μg/m³
2018-11-23 01:00:00,33.5 μg/m³
2018-11-24 01:00:00,54.9 μg/m³
2018-11-25 01:00:00,48.0 μg/m³
2018-11-26 01:00:00,22.2 μg/m³
2018-11-27 01:00:00,51.0 μg/m³
2018-11-28 01:00:00,35.1 μg/m³
2018-11-29 01:00:00,18.7 μg/m³
2018-11-30 01:00:00,22.4 μg/m³
2018-12-01 01:00:00,63.8 μg/m³
2018-12-02 01:00:00,56.6 μg/m³
2018-12-03 01:00:00,28.4 μg/m³
2018-12-04 01:00:00,25.5 μg/m³
2018-12-05 01:00:00,38.8 μg/m³
2018-12-06 01:00:00,33.8 μg/m³
2018-12-07 01:00:00,25.0 μg/m³
2018-12-08 01:00:00,15.0 μg/m³
2018-12-09 01:00:00,12.2 μg/m³
2018-12-10 01:00:00,11.2 μg/m³
2018-12-11 01:00:00,46.0 μg/m³
2018-12-12 01:00:00,22.9 μg/m³
2018-12-13 01:00:00,17.5 μg/m³
2018-12-14 01:00:00,24.7 μg/m³
2018-12-15 01:00:00,25.6 μg/m³
2018-12-16 01:00:00,21.8 μg/m³
2018-12-17 01:00:00,71.1 μg/m³
2018-12-18 01:00:00,92.6 μg/m³
2018-12-19 01:00:00,54.3 μg/m³
2018-12-20 01:00:00,40.5 μg/m³
2018-12-21 01:00:00,38.0 μg/m³
2018-12-22 01:00:00,13.6 μg/m³
2018-12-23 01:00:00,14.4 μg/m³
2018-12-24 01:00:00,10.6 μg/m³
2018-12-25 01:00:00,16.1 μg/m³
2018-12-26 01:00:00,11.6 μg/m³
2018-12-27 01:00:00,13.3 μg/m³
2018-12-28 01:00:00,12.4 μg/m³
2018-12-29 01:00:00,19.9 μg/m³
2018-12-30 01:00:00,20.9 μg/m³
2018-12-31 01:00:00,13.1 μg/m³
2019-01-01 01:00:00,13.7 μg/m³
2019-01-02 01:00:00,6.33 μg/m³
2019-01-03 01:00:00,6.80 μg/m³
2019-01-04 01:00:00,21.0 μg/m³
2019-01-05 01:00:00,9.33 μg/m³
2019-01-06 01:00:00,23.9 μg/m³
2019-01-07 01:00:00,67.3 μg/m³
2019-01-08 01:00:00,35.0 μg/m³
2019-01-09 01:00:00,40.3 μg/m³
2019-01-10 01:00:00,36.0 μg/m³
2019-01-11 01:00:00,35.0 μg/m³
2019-01-12 01:00:00,21.9 μg/m³
2019-01-13 01:00:00,20.0 μg/m³
2019-01-14 01:00:00,9.23 μg/m³
2019-01-15 01:00:00,13.4 μg/m³
2019-01-16 01:00:00,20.1 μg/m³
2019-01-17 01:00:00,24.2 μg/m³
2019-01-18 01:00:00,15.4 μg/m³
2019-01-19 01:00:00,35.2 μg/m³
2019-01-20 01:00:00,59.6 μg/m³
2019-01-21 01:00:00,35.7 μg/m³
2019-01-22 01:00:00,57.5 μg/m³
2019-01-23 01:00:00,35.6 μg/m³
2019-01-24 01:00:00,23.2 μg/m³
2019-01-25 01:00:00,24.7 μg/m³
2019-01-26 01:00:00,53.6 μg/m³
2019-01-27 01:00:00,50.9 μg/m³
2019-01-28 01:00:00,42.2 μg/m³
2019-01-29 01:00:00,33.4 μg/m³
2019-01-30 01:00:00,41.5 μg/m³
2019-01-31 01:00:00,41.7 μg/m³
2019-02-01 01:00:00,35.8 μg/m³
