PM10
"15:30 19/04;""16:30 19/04"";""21"""
"16:30 19/04;""17:30 19/04"";""17"""
"17:30 19/04;""18:30 19/04"";""15"""
"18:30 19/04;""19:30 19/04"";""16"""
"19:30 19/04;""20:30 19/04"";""13"""
"20:30 19/04;""21:30 19/04"";""13"""
"21:30 19/04;""22:30 19/04"";""14"""
"22:30 19/04;""23:30 19/04"";""19"""
"23:30 19/04;""00:30 20/04"";""46"""
"00:30 20/04;""01:30 20/04"";""56"""
"01:30 20/04;""02:30 20/04"";""77"""
"02:30 20/04;""03:30 20/04"";""77"""
"03:30 20/04;""04:30 20/04"";""73"""
"04:30 20/04;""05:30 20/04"";""59"""
"05:30 20/04;""06:30 20/04"";""59"""
"06:30 20/04;""07:30 20/04"";""57"""
"07:30 20/04;""08:30 20/04"";""54"""
"08:30 20/04;""09:30 20/04"";""61"""
"09:30 20/04;""10:30 20/04"";""65"""
"10:30 20/04;""11:30 20/04"";""46"""
"11:30 20/04;""12:30 20/04"";""29"""
"12:30 20/04;""13:30 20/04"";""13"""
"13:30 20/04;""14:30 20/04"";""10"""
"14:30 20/04;""15:30 20/04"";""12"""
"15:30 20/04;""16:30 20/04"";""14"""
"16:30 20/04;""17:30 20/04"";""15"""
"17:30 20/04;""18:30 20/04"";""15"""
"18:30 20/04;""19:30 20/04"";""14"""
"19:30 20/04;""20:30 20/04"";""15"""
"20:30 20/04;""21:30 20/04"";""19"""
"21:30 20/04;""22:30 20/04"";""28"""
"22:30 20/04;""23:30 20/04"";""50"""
"23:30 20/04;""00:30 21/04"";""64"""
"00:30 21/04;""01:30 21/04"";""44"""
"01:30 21/04;""02:30 21/04"";""41"""
"02:30 21/04;""03:30 21/04"";""40"""
"03:30 21/04;""04:30 21/04"";""45"""
"04:30 21/04;""05:30 21/04"";""48"""
"05:30 21/04;""06:30 21/04"";""48"""
"06:30 21/04;""07:30 21/04"";""47"""
"07:30 21/04;""08:30 21/04"";""46"""
"08:30 21/04;""09:30 21/04"";""46"""
"09:30 21/04;""10:30 21/04"";""54"""
"10:30 21/04;""11:30 21/04"";""55"""
"11:30 21/04;""12:30 21/04"";""51"""
"12:30 21/04;""13:30 21/04"";""47"""
"13:30 21/04;""14:30 21/04"";""40"""
"14:30 21/04;""15:30 21/04"";""32"""
"15:30 21/04;""16:30 21/04"";""22"""
"16:30 21/04;""17:30 21/04"";""16"""
"17:30 21/04;""18:30 21/04"";""14"""
"18:30 21/04;""19:30 21/04"";""15"""
"19:30 21/04;""20:30 21/04"";""16"""
