PM10
"17:30 08/02;""18:30 08/02"";""20"""
"18:30 08/02;""19:30 08/02"";""23"""
"19:30 08/02;""20:30 08/02"";""22"""
"20:30 08/02;""21:30 08/02"";""25"""
"21:30 08/02;""22:30 08/02"";""26"""
"22:30 08/02;""23:30 08/02"";""39"""
"23:30 08/02;""00:30 09/02"";""33"""
"00:30 09/02;""01:30 09/02"";""37"""
"01:30 09/02;""02:30 09/02"";""49"""
"02:30 09/02;""03:30 09/02"";""52"""
"03:30 09/02;""04:30 09/02"";""36"""
"04:30 09/02;""05:30 09/02"";""33"""
"05:30 09/02;""06:30 09/02"";""42"""
"06:30 09/02;""07:30 09/02"";""38"""
"07:30 09/02;""08:30 09/02"";""43"""
"08:30 09/02;""09:30 09/02"";""28"""
"09:30 09/02;""10:30 09/02"";""27"""
"10:30 09/02;""11:30 09/02"";""42"""
"11:30 09/02;""12:30 09/02"";""62"""
"12:30 09/02;""13:30 09/02"";""54"""
"13:30 09/02;""14:30 09/02"";""41"""
"14:30 09/02;""15:30 09/02"";""40"""
"15:30 09/02;""16:30 09/02"";""45"""
"16:30 09/02;""17:30 09/02"";""45"""
"17:30 09/02;""18:30 09/02"";""48"""
"18:30 09/02;""19:30 09/02"";""54"""
"19:30 09/02;""20:30 09/02"";""53"""
"20:30 09/02;""21:30 09/02"";""69"""
"21:30 09/02;""22:30 09/02"";""81"""
"22:30 09/02;""23:30 09/02"";""71"""
"23:30 09/02;""00:30 10/02"";""72"""
"00:30 10/02;""01:30 10/02"";""83"""
"01:30 10/02;""02:30 10/02"";""91"""
"02:30 10/02;""03:30 10/02"";""85"""
"03:30 10/02;""04:30 10/02"";""88"""
"04:30 10/02;""05:30 10/02"";""109"""
"05:30 10/02;""06:30 10/02"";""166"""
"06:30 10/02;""07:30 10/02"";""155"""
"07:30 10/02;""08:30 10/02"";""96"""
"08:30 10/02;""09:30 10/02"";""92"""
"09:30 10/02;""10:30 10/02"";""105"""
"10:30 10/02;""11:30 10/02"";""112"""
"11:30 10/02;""12:30 10/02"";""94"""
"12:30 10/02;""13:30 10/02"";""95"""
"13:30 10/02;""14:30 10/02"";""91"""
"14:30 10/02;""15:30 10/02"";""90"""
"15:30 10/02;""16:30 10/02"";""87"""
"16:30 10/02;""17:30 10/02"";""71"""
"17:30 10/02;""18:30 10/02"";""69"""
"18:30 10/02;""19:30 10/02"";""75"""
"19:30 10/02;""20:30 10/02"";""75"""
"20:30 10/02;""21:30 10/02"";""79"""
"21:30 10/02;""22:30 10/02"";""99"""
"22:30 10/02;""23:30 10/02"";""119"""
"23:30 10/02;""00:30 11/02"";""102"""
"00:30 11/02;""01:30 11/02"";""86"""
"01:30 11/02;""02:30 11/02"";""76"""
"02:30 11/02;""03:30 11/02"";""72"""
"03:30 11/02;""04:30 11/02"";""71"""
"04:30 11/02;""05:30 11/02"";""70"""
"05:30 11/02;""06:30 11/02"";""93"""
"06:30 11/02;""07:30 11/02"";""94"""
"07:30 11/02;""08:30 11/02"";""81"""
"08:30 11/02;""09:30 11/02"";""51"""
"09:30 11/02;""10:30 11/02"";""43"""
"10:30 11/02;""11:30 11/02"";""45"""
"11:30 11/02;""12:30 11/02"";""51"""
"12:30 11/02;""13:30 11/02"";""44"""
"13:30 11/02;""14:30 11/02"";""42"""
"14:30 11/02;""15:30 11/02"";""39"""
"15:30 11/02;""16:30 11/02"";""39"""
