"From";"To";"ID 6437 - PM10"
"02/08/2021";"03/08/2021";"12"
"03/08/2021";"04/08/2021";"8"
"04/08/2021";"05/08/2021";"15"
"05/08/2021";"06/08/2021";"15"
"06/08/2021";"07/08/2021";"2"
"07/08/2021";"08/08/2021";"8"
"08/08/2021";"09/08/2021";"13"
"09/08/2021";"10/08/2021";"9"
"10/08/2021";"11/08/2021";"10"
"11/08/2021";"12/08/2021";"14"
"12/08/2021";"13/08/2021";"11"
"13/08/2021";"14/08/2021";"18"
"14/08/2021";"15/08/2021";"28"
"15/08/2021";"16/08/2021";"20"
"16/08/2021";"17/08/2021";"17"
"17/08/2021";"18/08/2021";"10"
"18/08/2021";"19/08/2021";"10"
"19/08/2021";"20/08/2021";"11"
"20/08/2021";"21/08/2021";"16"
"21/08/2021";"22/08/2021";"21"
"22/08/2021";"23/08/2021";"17"
"23/08/2021";"24/08/2021";"16"
"24/08/2021";"25/08/2021";"8"
"25/08/2021";"26/08/2021";"10"
"26/08/2021";"27/08/2021";"13"
"27/08/2021";"28/08/2021";"20"
"28/08/2021";"29/08/2021";"20"
"29/08/2021";"30/08/2021";"35"
"30/08/2021";"31/08/2021";"28"
"31/08/2021";"01/09/2021";"12"
"01/09/2021";"02/09/2021";"6"
"02/09/2021";"03/09/2021";"8"
"03/09/2021";"04/09/2021";"14"
"04/09/2021";"05/09/2021";"8"
"05/09/2021";"06/09/2021";"11"
"06/09/2021";"07/09/2021";"21"
"07/09/2021";"08/09/2021";"26"
"08/09/2021";"09/09/2021";"37"
"09/09/2021";"10/09/2021";"35"
"10/09/2021";"11/09/2021";"26"
"11/09/2021";"12/09/2021";"32"
"12/09/2021";"13/09/2021";"32"
"13/09/2021";"14/09/2021";"21"
"14/09/2021";"15/09/2021";"20"
"15/09/2021";"16/09/2021";"31"
"16/09/2021";"17/09/2021";"36"
"17/09/2021";"18/09/2021";"25"
"18/09/2021";"19/09/2021";"8"
"19/09/2021";"20/09/2021";"7"
"20/09/2021";"21/09/2021";"7"
"21/09/2021";"22/09/2021";"18"
"22/09/2021";"23/09/2021";"17"
"23/09/2021";"24/09/2021";"24"
"24/09/2021";"25/09/2021";"6"
"25/09/2021";"26/09/2021";"15"
"26/09/2021";"27/09/2021";"25"
"27/09/2021";"28/09/2021";"12"
"28/09/2021";"29/09/2021";"16"
"29/09/2021";"30/09/2021";"19"
"30/09/2021";"01/10/2021";"30"
"01/10/2021";"02/10/2021";"37"
"02/10/2021";"03/10/2021";"33"
"03/10/2021";"04/10/2021";"28"
"04/10/2021";"05/10/2021";"26"
"05/10/2021";"06/10/2021";"23"
"06/10/2021";"07/10/2021";"19"
"07/10/2021";"08/10/2021";"22"
"08/10/2021";"09/10/2021";"29"
"09/10/2021";"10/10/2021";"42"
"10/10/2021";"11/10/2021";"52"
"11/10/2021";"12/10/2021";"52"
"12/10/2021";"13/10/2021";"30"
"13/10/2021";"14/10/2021";"25"
"14/10/2021";"15/10/2021";"26"
"15/10/2021";"16/10/2021";"23"
"16/10/2021";"17/10/2021";"13"
"17/10/2021";"18/10/2021";"22"
"18/10/2021";"19/10/2021";"27"
"19/10/2021";"20/10/2021";"31"
"20/10/2021";"21/10/2021";"19"
"21/10/2021";"22/10/2021";"16"
"22/10/2021";"23/10/2021";"3"
"23/10/2021";"24/10/2021";"8"
"24/10/2021";"25/10/2021";"30"
"25/10/2021";"26/10/2021";"32"
"26/10/2021";"27/10/2021";"30"
"27/10/2021";"28/10/2021";"26"
"28/10/2021";"29/10/2021";"25"
"29/10/2021";"30/10/2021";"45"
"30/10/2021";"31/10/2021";"36"
"31/10/2021";"01/11/2021";"36"
"01/11/2021";"02/11/2021";"35"
"02/11/2021";"03/11/2021";"45"
"03/11/2021";"04/11/2021";"35"
"04/11/2021";"05/11/2021";"16"
"05/11/2021";"06/11/2021";"9"
"06/11/2021";"07/11/2021";"16"
"07/11/2021";"08/11/2021";"18"
"08/11/2021";"09/11/2021";"12"
"09/11/2021";"10/11/2021";"25"
"10/11/2021";"11/11/2021";"44"
"11/11/2021";"12/11/2021";"46"
"12/11/2021";"13/11/2021";"48"
"13/11/2021";"14/11/2021";"43"
"14/11/2021";"15/11/2021";"53"
"15/11/2021";"16/11/2021";"37"
"16/11/2021";"17/11/2021";"47"
"17/11/2021";"18/11/2021";"47"
"18/11/2021";"19/11/2021";"17"
"19/11/2021";"20/11/2021";"8"
"20/11/2021";"21/11/2021";"5"
"21/11/2021";"22/11/2021";"21"
"22/11/2021";"23/11/2021";"22"
"23/11/2021";"24/11/2021";"23"
"24/11/2021";"25/11/2021";"24"
"25/11/2021";"26/11/2021";"30"
"26/11/2021";"27/11/2021";"34"
"27/11/2021";"28/11/2021";"23"
"28/11/2021";"29/11/2021";"43"
"29/11/2021";"30/11/2021";"17"
"30/11/2021";"01/12/2021";"12"
"01/12/2021";"02/12/2021";"19"
"02/12/2021";"03/12/2021";"5"
"03/12/2021";"04/12/2021";"10"
"04/12/2021";"05/12/2021";"25"
"05/12/2021";"06/12/2021";"41"
"06/12/2021";"07/12/2021";"29"
"07/12/2021";"08/12/2021";"28"
"08/12/2021";"09/12/2021";"28"
"09/12/2021";"10/12/2021";"28"
"10/12/2021";"11/12/2021";"38"
"11/12/2021";"12/12/2021";"43"
"12/12/2021";"13/12/2021";"45"
"13/12/2021";"14/12/2021";"39"
"14/12/2021";"15/12/2021";"42"
"15/12/2021";"16/12/2021";"31"
"16/12/2021";"17/12/2021";"17"
"17/12/2021";"18/12/2021";"7"
"18/12/2021";"19/12/2021";"18"
"19/12/2021";"20/12/2021";"7"
"20/12/2021";"21/12/2021";"6"
"21/12/2021";"22/12/2021";"15"
"22/12/2021";"23/12/2021";"33"
"23/12/2021";"24/12/2021";"35"
"24/12/2021";"25/12/2021";"28"
"25/12/2021";"26/12/2021";"13"
"26/12/2021";"27/12/2021";"39"
"27/12/2021";"28/12/2021";"67"
"28/12/2021";"29/12/2021";"31"
"29/12/2021";"30/12/2021";"35"
"30/12/2021";"31/12/2021";"37"
"31/12/2021";"01/01/2022";"11"
