"From";"To";"ID 6437 - PM10"
"10/09/2020";"11/09/2020";"12"
"11/09/2020";"12/09/2020";"19"
"12/09/2020";"13/09/2020";"26"
"13/09/2020";"14/09/2020";"19"
"14/09/2020";"15/09/2020";"22"
"15/09/2020";"16/09/2020";"31"
"16/09/2020";"17/09/2020";"40"
"17/09/2020";"18/09/2020";"13"
"18/09/2020";"19/09/2020";"9"
"19/09/2020";"20/09/2020";"27"
"20/09/2020";"21/09/2020";"35"
"21/09/2020";"22/09/2020";"27"
"22/09/2020";"23/09/2020";"40"
"23/09/2020";"24/09/2020";"28"
"24/09/2020";"25/09/2020";"39"
"25/09/2020";"26/09/2020";"30"
"26/09/2020";"27/09/2020";"28"
"27/09/2020";"28/09/2020";"9"
"28/09/2020";"29/09/2020";"17"
"29/09/2020";"30/09/2020";"18"
"30/09/2020";"01/10/2020";"19"
"01/10/2020";"02/10/2020";"23"
"02/10/2020";"03/10/2020";"18"
"03/10/2020";"04/10/2020";"19"
"04/10/2020";"05/10/2020";"16"
"05/10/2020";"06/10/2020";"18"
"06/10/2020";"07/10/2020";"14"
"07/10/2020";"08/10/2020";"30"
"08/10/2020";"09/10/2020";"41"
"09/10/2020";"10/10/2020";"32"
"10/10/2020";"11/10/2020";"30"
"11/10/2020";"12/10/2020";"35"
"12/10/2020";"13/10/2020";"31"
"13/10/2020";"14/10/2020";"7"
"14/10/2020";"15/10/2020";"14"
"15/10/2020";"16/10/2020";"40"
"16/10/2020";"17/10/2020";"34"
"17/10/2020";"18/10/2020";"21"
"18/10/2020";"19/10/2020";"23"
"19/10/2020";"20/10/2020";"22"
"20/10/2020";"21/10/2020";"42"
"21/10/2020";"22/10/2020";"33"
"22/10/2020";"23/10/2020";"32"
"23/10/2020";"24/10/2020";"39"
"24/10/2020";"25/10/2020";"38"
"25/10/2020";"26/10/2020";"46"
"26/10/2020";"27/10/2020";"40"
"27/10/2020";"28/10/2020";"44"
"28/10/2020";"29/10/2020";"46"
"29/10/2020";"30/10/2020";"32"
"30/10/2020";"31/10/2020";"35"
"31/10/2020";"01/11/2020";"64"
"01/11/2020";"02/11/2020";"54"
"02/11/2020";"03/11/2020";"52"
"03/11/2020";"04/11/2020";"43"
"04/11/2020";"05/11/2020";"51"
"05/11/2020";"06/11/2020";"27"
"06/11/2020";"07/11/2020";"29"
"07/11/2020";"08/11/2020";"33"
"08/11/2020";"09/11/2020";"56"
"09/11/2020";"10/11/2020";"50"
"10/11/2020";"11/11/2020";"41"
"11/11/2020";"12/11/2020";"45"
"12/11/2020";"13/11/2020";"48"
"13/11/2020";"14/11/2020";"51"
"14/11/2020";"15/11/2020";"65"
"15/11/2020";"16/11/2020";"59"
"16/11/2020";"17/11/2020";"50"
"17/11/2020";"18/11/2020";"47"
"18/11/2020";"19/11/2020";"46"
"19/11/2020";"20/11/2020";"31"
"20/11/2020";"21/11/2020";"18"
"21/11/2020";"22/11/2020";"40"
"22/11/2020";"23/11/2020";"29"
"23/11/2020";"24/11/2020";"23"
"24/11/2020";"25/11/2020";"22"
"25/11/2020";"26/11/2020";"63"
"26/11/2020";"27/11/2020";"63"
"27/11/2020";"28/11/2020";"48"
"28/11/2020";"29/11/2020";"24"
"29/11/2020";"30/11/2020";"34"
"30/11/2020";"01/12/2020";"52"
"01/12/2020";"02/12/2020";"75"
"02/12/2020";"03/12/2020";"58"
"03/12/2020";"04/12/2020";"54"
"04/12/2020";"05/12/2020";"46"
"05/12/2020";"06/12/2020";"42"
"06/12/2020";"07/12/2020";"35"
"07/12/2020";"08/12/2020";"29"
"08/12/2020";"09/12/2020";"39"
"09/12/2020";"10/12/2020";"53"
"10/12/2020";"11/12/2020";"54"
"11/12/2020";"12/12/2020";"57"
"12/12/2020";"13/12/2020";"36"
"13/12/2020";"14/12/2020";"50"
"14/12/2020";"15/12/2020";"48"
"15/12/2020";"16/12/2020";"53"
"16/12/2020";"17/12/2020";"60"
"17/12/2020";"18/12/2020";"68"
"18/12/2020";"19/12/2020";"65"
"19/12/2020";"20/12/2020";"63"
"20/12/2020";"21/12/2020";"57"
"21/12/2020";"22/12/2020";"54"
"22/12/2020";"23/12/2020";"53"
"23/12/2020";"24/12/2020";"32"
"24/12/2020";"25/12/2020";"26"
"25/12/2020";"26/12/2020";"13"
"26/12/2020";"27/12/2020";"22"
"27/12/2020";"28/12/2020";"33"
"28/12/2020";"29/12/2020";"25"
"29/12/2020";"30/12/2020";"23"
"30/12/2020";"31/12/2020";"56"
"31/12/2020";"01/01/2021";"55"
