PM2.5
"05:30 16/01;""06:30 16/01"";""97"""
"06:30 16/01;""07:30 16/01"";""107"""
"07:30 16/01;""08:30 16/01"";""82"""
"08:30 16/01;""09:30 16/01"";""67"""
"09:30 16/01;""10:30 16/01"";""54"""
"10:30 16/01;""11:30 16/01"";""66"""
"11:30 16/01;""12:30 16/01"";""87"""
"12:30 16/01;""13:30 16/01"";""50"""
"13:30 16/01;""14:30 16/01"";""49"""
"14:30 16/01;""15:30 16/01"";""43"""
"15:30 16/01;""16:30 16/01"";""33"""
"16:30 16/01;""17:30 16/01"";""40"""
"17:30 16/01;""18:30 16/01"";""21"""
"18:30 16/01;""19:30 16/01"";""21"""
"19:30 16/01;""20:30 16/01"";""26"""
"20:30 16/01;""21:30 16/01"";""33"""
"21:30 16/01;""22:30 16/01"";""32"""
"22:30 16/01;""23:30 16/01"";""19"""
"23:30 16/01;""00:30 17/01"";""23"""
"00:30 17/01;""01:30 17/01"";""31"""
"01:30 17/01;""02:30 17/01"";""35"""
"02:30 17/01;""03:30 17/01"";""35"""
"03:30 17/01;""04:30 17/01"";""33"""
"04:30 17/01;""05:30 17/01"";""32"""
"05:30 17/01;""06:30 17/01"";""31"""
"06:30 17/01;""07:30 17/01"";""30"""
"07:30 17/01;""08:30 17/01"";""28"""
"08:30 17/01;""09:30 17/01"";""27"""
"09:30 17/01;""10:30 17/01"";""29"""
"10:30 17/01;""11:30 17/01"";""30"""
"11:30 17/01;""12:30 17/01"";""32"""
"12:30 17/01;""13:30 17/01"";""34"""
"13:30 17/01;""14:30 17/01"";""39"""
"14:30 17/01;""15:30 17/01"";""39"""
"15:30 17/01;""16:30 17/01"";""42"""
"16:30 17/01;""17:30 17/01"";""43"""
"17:30 17/01;""18:30 17/01"";""46"""
"18:30 17/01;""19:30 17/01"";""48"""
"19:30 17/01;""20:30 17/01"";""52"""
"20:30 17/01;""21:30 17/01"";""52"""
"21:30 17/01;""22:30 17/01"";""60"""
"22:30 17/01;""23:30 17/01"";""129"""
"23:30 17/01;""00:30 18/01"";""205"""
"00:30 18/01;""01:30 18/01"";""186"""
"01:30 18/01;""02:30 18/01"";""177"""
"02:30 18/01;""03:30 18/01"";""201"""
"03:30 18/01;""04:30 18/01"";""204"""
"04:30 18/01;""05:30 18/01"";""176"""
"05:30 18/01;""06:30 18/01"";""187"""
"06:30 18/01;""07:30 18/01"";""124"""
"07:30 18/01;""08:30 18/01"";""93"""
"08:30 18/01;""09:30 18/01"";""77"""
"09:30 18/01;""10:30 18/01"";""90"""
"10:30 18/01;""11:30 18/01"";""100"""
"11:30 18/01;""12:30 18/01"";""109"""
"12:30 18/01;""13:30 18/01"";""119"""
"13:30 18/01;""14:30 18/01"";""124"""
"14:30 18/01;""15:30 18/01"";""120"""
"15:30 18/01;""16:30 18/01"";""109"""
"16:30 18/01;""17:30 18/01"";""92"""
"17:30 18/01;""18:30 18/01"";""103"""
"18:30 18/01;""19:30 18/01"";""105"""
"19:30 18/01;""20:30 18/01"";""89"""
"20:30 18/01;""21:30 18/01"";""94"""
"21:30 18/01;""22:30 18/01"";""119"""
"22:30 18/01;""23:30 18/01"";""163"""
"23:30 18/01;""00:30 19/01"";""250"""
"00:30 19/01;""01:30 19/01"";""251"""
"01:30 19/01;""02:30 19/01"";""210"""
"02:30 19/01;""03:30 19/01"";""222"""
"03:30 19/01;""04:30 19/01"";""180"""
"04:30 19/01;""05:30 19/01"";""145"""
"05:30 19/01;""06:30 19/01"";""124"""
"06:30 19/01;""07:30 19/01"";""103"""
"07:30 19/01;""08:30 19/01"";""90"""
"08:30 19/01;""09:30 19/01"";""87"""
"09:30 19/01;""10:30 19/01"";""87"""
"10:30 19/01;""11:30 19/01"";""87"""
"11:30 19/01;""12:30 19/01"";""84"""
"12:30 19/01;""13:30 19/01"";""83"""
"13:30 19/01;""14:30 19/01"";""83"""
"14:30 19/01;""15:30 19/01"";""97"""
"15:30 19/01;""16:30 19/01"";""109"""
"16:30 19/01;""17:30 19/01"";""114"""
"17:30 19/01;""18:30 19/01"";""110"""
"18:30 19/01;""19:30 19/01"";""108"""
"19:30 19/01;""20:30 19/01"";""108"""
"20:30 19/01;""21:30 19/01"";""105"""
"21:30 19/01;""22:30 19/01"";""110"""
"22:30 19/01;""23:30 19/01"";""110"""
"23:30 19/01;""00:30 20/01"";""108"""
"00:30 20/01;""01:30 20/01"";""106"""
"01:30 20/01;""02:30 20/01"";""104"""
"02:30 20/01;""03:30 20/01"";""127"""
"03:30 20/01;""04:30 20/01"";""108"""
"04:30 20/01;""05:30 20/01"";""88"""
"05:30 20/01;""06:30 20/01"";""82"""
"06:30 20/01;""07:30 20/01"";""66"""
"07:30 20/01;""08:30 20/01"";""52"""
"08:30 20/01;""09:30 20/01"";""47"""
"09:30 20/01;""10:30 20/01"";""46"""
"10:30 20/01;""11:30 20/01"";""48"""
"11:30 20/01;""12:30 20/01"";""47"""
"12:30 20/01;""13:30 20/01"";""45"""
"13:30 20/01;""14:30 20/01"";""43"""
"14:30 20/01;""15:30 20/01"";""41"""
"15:30 20/01;""16:30 20/01"";""39"""
"16:30 20/01;""17:30 20/01"";""40"""
"17:30 20/01;""18:30 20/01"";""40"""
"18:30 20/01;""19:30 20/01"";""41"""
"19:30 20/01;""20:30 20/01"";""43"""
"20:30 20/01;""21:30 20/01"";""43"""
"21:30 20/01;""22:30 20/01"";""43"""
"22:30 20/01;""23:30 20/01"";""44"""
"23:30 20/01;""00:30 21/01"";""44"""
"00:30 21/01;""01:30 21/01"";""43"""
"01:30 21/01;""02:30 21/01"";""47"""
"02:30 21/01;""03:30 21/01"";""48"""
"03:30 21/01;""04:30 21/01"";""42"""
"04:30 21/01;""05:30 21/01"";""34"""
